rsi_buy,rsi_sell,trades,total_return_pct,cagr_pct,winrate_pct,profit_factor,expectancy_pct_per_trade,max_drawdown_pct,avg_win_pct,avg_loss_pct
51,60,22,41.23384625234217,7.1621007606755605,72.72727272727273,2.0141311189753277,1.8555041235868122,-21.165494105059647,5.06708572916987,-6.708713491301343
52,60,22,41.23384625234217,7.1621007606755605,72.72727272727273,2.0141311189753277,1.8555041235868122,-21.165494105059647,5.06708572916987,-6.708713491301343
51,61,20,34.824543292128716,6.16957071828681,75.0,1.9238024225906614,1.797054710689114,-21.165494105059647,4.989780096421563,-7.781121446508232
52,61,20,34.824543292128716,6.16957071828681,75.0,1.9238024225906614,1.797054710689114,-21.165494105059647,4.989780096421563,-7.781121446508232
52,59,25,33.42475849075637,5.947798956675632,72.0,1.7070457124571283,1.4503560897451473,-24.79215875713421,4.863397917000665,-7.32603718034047
51,59,25,33.42475849075637,5.947798956675632,72.0,1.7070457124571283,1.4503560897451473,-24.79215875713421,4.863397917000665,-7.32603718034047
50,60,20,25.092071421594508,4.587702919398562,70.0,1.7239008368262854,1.373210004157866,-21.165494105059647,4.671669604607637,-6.323195730224931
51,57,29,22.207196290655283,4.09992363105538,72.41379310344827,1.464615067802365,0.9458749164019932,-26.186864056686552,4.117585438319237,-7.3798652036307715
50,57,27,20.597109263644377,3.823671009427221,70.37037037037037,1.4537023682137358,0.9540190047425536,-26.186864056686552,4.343818206002164,-7.096754098249024
50,56,29,20.061633156441538,3.7311425123091047,72.41379310344827,1.4327711163640697,0.8690213439911141,-26.186864056686552,3.973083537224148,-7.2791419132456
52,58,27,19.008309643519496,3.548164459132863,70.37037037037037,1.430822781635961,0.9109404477940629,-25.33697701418752,4.299196893690742,-7.13616861121055
51,58,27,19.008309643519496,3.548164459132863,70.37037037037037,1.430822781635961,0.9109404477940629,-25.33697701418752,4.299196893690742,-7.13616861121055
50,59,23,18.591887231521632,3.4754683432791644,69.56521739130434,1.4751116578240993,1.0115572084658238,-24.792158757134196,4.5146855931649235,-6.995593385132117
51,56,31,18.44154377394307,3.449172279013757,74.19354838709677,1.3993943777598319,0.7793008342019823,-26.186864056686566,3.6802487735425897,-7.560924491402265
50,58,25,17.440368136966967,3.273376054887711,68.0,1.4186950713869368,0.9178209470335593,-25.33697701418752,4.573411334674192,-6.850308626702785
52,57,29,16.873578252865727,3.17332163893711,72.41379310344827,1.3841846619147904,0.7821326946851347,-26.186864056686552,3.8914652273769086,-7.3798652036307715
52,56,32,16.842790788295424,3.1678756807939967,75.0,1.3739070542072325,0.706770750915885,-26.186864056686566,3.4626691650219343,-7.560924491402265
52,55,35,13.573447043420117,2.5829232266300517,77.14285714285715,1.3112121889491144,0.5642192870756408,-26.186864056686566,3.0815455208321207,-7.93175675185248
49,59,21,12.785099146963264,2.4398598790002834,66.66666666666666,1.37457772076342,0.8680052364540826,-23.735786425981974,4.777942974440852,-6.951870239519455
49,57,24,12.329305494288011,2.356780748725562,66.66666666666666,1.329887957185594,0.7761084416653834,-25.150081811677083,4.693126473211304,-7.057927621426457
50,55,29,10.947436525999631,2.1032441465644425,72.41379310344827,1.2800782390633623,0.5910596677100484,-26.186864056686552,3.7305011311027583,-7.649974173695816
49,56,25,10.394471788092673,2.001081903268953,68.0,1.2946740360445756,0.6704461398175112,-25.150081811677083,4.3318513879795795,-7.110040012526885
48,56,22,10.390094336799827,2.0002715223320644,63.63636363636363,1.3285363600157236,0.7360149553609432,-25.150081811677083,4.67704219419089,-6.160782712591463
51,55,31,9.450332420335927,1.8256989959477554,74.19354838709677,1.25368650589844,0.5192721692938881,-26.186864056686566,3.458760489692625,-7.93175675185248
48,57,21,8.341092832749887,1.618094769845535,61.904761904761905,1.2914607586035276,0.6782619756040508,-25.150081811677083,4.854835696893334,-6.108670321491035
49,58,22,7.127068222127542,1.3889217953078292,63.63636363636363,1.2490945161040097,0.6168064915585459,-24.288257221956066,4.860430260820441,-6.809535104649769
48,58,20,5.577926459922455,1.093452996711397,60.0,1.242461370403006,0.5683563949893444,-24.288257221956066,4.85411252812514,-5.8602778047143484
48,55,22,2.8980081774420574,0.5740218336709901,63.63636363636363,1.1721464508481194,0.40908080192023843,-25.150081811677083,4.377110871838505,-6.534971820436727
49,55,25,2.014134986581584,0.40033413829745346,68.0,1.1453555298167772,0.34796356887367186,-25.150081811677083,4.032121612097565,-7.480872272977101
